Event Year,State,Observed Antimicrobial Days,Predicted Antimicrobial Days,SAAR
2022,RI,,,
2022,SC,,,
2022,SD,,,
2022,TN,,,
2022,TX,273893.0,272524.16,1.005
2022,UT,,,
2022,VT,,,
2022,VA,59827.0,59177.848,1.011
2022,WA,,,
2022,WV,,,
2022,WI,,,
2022,WY,,,
2023,AL,,,
2023,AK,,,
2023,AZ,,,
2023,AR,,,
2023,CA,225921.0,246416.77,0.9168
2023,CO,,,
2023,CT,,,
2023,DE,,,
2023,DC,,,
2023,FL,115305.0,110870.53,1.04
2023,GA,34280.0,35835.99,0.9566
2023,HI,,,
2023,ID,,,
2023,IL,49317.0,52708.535,0.9357
2023,IN,37948.0,47036.42,0.8068
2023,IA,,,
2023,KS,,,
2023,KY,,,
2023,LA,,,
2023,ME,,,
2023,MD,,,
2023,MA,,,
2023,MI,,,
2023,MN,74686.0,62262.062,1.1995
2023,MS,,,
2023,MO,87495.0,95696.54,0.9143
2023,MT,,,
2023,NE,,,
2023,NV,,,
2023,NH,,,
2023,NJ,52599.0,60178.42,0.8741
2023,NM,,,
2023,NY,213840.0,226001.81,0.9462
2023,NC,85963.0,89671.8,0.9586
2023,ND,,,
2023,OH,120259.0,130827.445,0.9192
2023,OK,,,
2023,OR,,,
2023,PA,78466.0,99340.8,0.7899
2023,PR,,,
2023,RI,,,
2023,SC,,,
2023,SD,,,
2023,TN,,,
2023,TX,283135.0,268043.03,1.0563
2023,UT,,,
2023,VT,,,
2023,VA,50645.0,48179.49,1.0512
2023,WA,55835.0,65010.094,0.8589
2023,WV,,,
2023,WI,,,
2023,WY,,,
